63;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gramatica;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;19;16;20;17;18;21;22;23;24;25;26;27;29;28;30;31;32;33;34;40;41;35;36;37;38;39;42;43
R_DEC_FUNC_I;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;
R_PARAMETROS;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_PARAMETROS_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_MAIN;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;
R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EPSILON;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;
R_EXP_CONJUNTA_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;
R_EXP_RELACIONAL_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_OPERAR_RELACIONALMENTE;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_OP_RELACIONAL;R_OP_RELACIONAL_C2;R_OP_RELACIONAL_C3;R_OP_RELACIONAL_C4;R_OP_RELACIONAL_C5;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
