63;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gramatica;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;19;16;20;17;18;21;22;23;24;25;26;27;29;28;30;31;32;33;34;40;41;35;36;37;38;39;42;43
R_ARRAY_PARAM;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_ARRAY_PARAM_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_ARRAY_INDEXES_OPT;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES_OPT;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES_OPT;R_EPSILON;R_EPSILON;
R_DEC_LEITURA;;;;;;;;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_LEITURA_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_ESCRITA;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_ESCREVIVEL_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_ESCREVIVEL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ESCREVIVEL;R_ESCREVIVEL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ESCREVIVEL_C2;R_EPSILON;R_EPSILON;R_EPSILON;R_ESCREVIVEL_C2;R_ESCREVIVEL_C2;R_ESCREVIVEL_C2;R_ESCREVIVEL_C2;R_EPSILON;R_EPSILON;R_ESCREVIVEL_C2;R_EPSILON;R_EPSILON;
R_TERMO_E;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO_E;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO_E;R_TERMO_E;R_TERMO_E;R_TERMO_E;R_EPSILON;R_EPSILON;R_TERMO_E;R_EPSILON;R_EPSILON;
R_TERMO_I_E;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO_I_E;R_TERMO_I_E;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_FATOR_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_FATOR_E;;;;R_FATOR_E;R_FATOR_E_C3;R_FATOR_E_C4;R_FATOR_E_C2;;;R_FATOR_E_C5;;;
R_FATOR_I_E;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_FATOR_I_E;R_FATOR_I_E;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_SE;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_ELSE_OPC;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_ENQUANTO;;;;;;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_PASSA_PARAM;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_PASSA_PARAM;R_PASSA_PARAM;R_PASSA_PARAM;R_EPSILON;R_EPSILON;R_PASSA_PARAM;R_PASSA_PARAM;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_PASSA_PARAM;R_EPSILON;R_EPSILON;R_EPSILON;R_PASSA_PARAM;R_PASSA_PARAM;R_PASSA_PARAM;R_PASSA_PARAM;R_EPSILON;R_EPSILON;R_PASSA_PARAM;R_EPSILON;R_EPSILON;
R_PASSA_PARAM_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_TIPO;;;;;;;;;;;;;;R_TIPO;R_TIPO_C2;R_TIPO_C3;R_TIPO_C4;R_TIPO_C5;;;;;;;;;;;;;;;;;;;;;;;;;
