63;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gramatica;PROGRAM;CONST;VAR;FUNCAO;INICIO;FIM;SE;ENTAO;SENAO;ENQUANTO;FACA;LEIA;ESCREVA;INTEIRO;REAL;CADEIA;BOOLEANO;CARACTERE_R(reservado);VERDADEIRO;FALSO;NÃO;E;OU;+;-;*;/;=;<>;<;<=;>;>=;IDENTIFICADOR;STRING (cadeia de caracteres literal);CARACTERE_L;NUMERO;";";,;(;);$;EPSILON
R_COMANDOS;;;R_COMANDOS_C6;;R_COMANDOS_C7;;R_COMANDOS_C3;;;R_COMANDOS_C4;;R_COMANDOS;R_COMANDOS_C2;;;;;;;;;;;;;;;;;R_COMANDOS_C5;;;;R_COMANDOS_C5;;;;;;;;;
R_CHAMA_OU_ATRIBUI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_CHAMA_OU_ATRIBUI_C2;;;;R_CHAMA_OU_ATRIBUI;;;;;;;;;
R_WHOS_NEXT;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_WHOS_NEXT;;;;;;;;;;;;R_WHOS_NEXT_C2;;;
R_NOVO_ESCOPO;;;;;R_NOVO_ESCOPO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_ARRAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_ARRAY;;;;R_EPSILON;;;;;;;;;
R_ARRAY_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_EPSILON;;;;;;;R_ARRAY_I;;;;
R_ARRAY_INDEXES;;;;;;;;;;;;;;;;;;;R_ARRAY_INDEXES;R_ARRAY_INDEXES;;;;R_ARRAY_INDEXES;R_ARRAY_INDEXES;;;;;R_ARRAY_INDEXES;;;;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_ARRAY_INDEXES;;;R_ARRAY_INDEXES;;;
R_ARRAY_PARAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_ARRAY_PARAM;;;;R_EPSILON;;;;;;;;;
R_ARRAY_PARAM_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_EPSILON;;;;;;;R_ARRAY_PARAM_I;;;;
R_ARRAY_INDEXES_OPT;;;;;;;;;;;;;;;;;;;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;;;;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;;;;;R_ARRAY_INDEXES_OPT;;R_EPSILON;;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;R_ARRAY_INDEXES_OPT;;R_EPSILON;R_ARRAY_INDEXES_OPT;;;
R_DEC_LEITURA;;;;;;;;;;;;R_DEC_LEITURA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_LEITURA_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_LEITURA_I;R_EPSILON;;;
R_DEC_ESCRITA;;;;;;;;;;;;;R_DEC_ESCRITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_ESCREVIVEL_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_ESCREVIVEL_I;R_EPSILON;;;
R_ESCREVIVEL;;;;;;;;;;;;;;;;;;;;;;;;R_ESCREVIVEL;R_ESCREVIVEL;;;;;R_ESCREVIVEL_C2;;;;R_ESCREVIVEL_C2;R_ESCREVIVEL_C2;R_ESCREVIVEL_C2;R_ESCREVIVEL_C2;;;R_ESCREVIVEL_C2;;;
R_TERMO_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_TERMO_E;;;;R_TERMO_E;R_TERMO_E;R_TERMO_E;R_TERMO_E;;;R_TERMO_E;;;
R_TERMO_I_E;;;;;;;;;;;;;;;;;;;;;;;;R_TERMO_I_E;R_TERMO_I_E;;;;;;;;;;;;;;R_EPSILON;R_EPSILON;;;
R_FATOR_E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_FATOR_E;;;;R_FATOR_E;R_FATOR_E_C3;R_FATOR_E_C4;R_FATOR_E_C2;;;R_FATOR_E_C5;;;
R_FATOR_I_E;;;;;;;;;;;;;;;;;;;;;;;;R_EPSILON;R_EPSILON;R_FATOR_I_E;R_FATOR_I_E;;;;;;;;;;;;R_EPSILON;R_EPSILON;;;
R_DEC_SE;;;;;;;R_DEC_SE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_ELSE_OPC;;;R_EPSILON;;R_EPSILON;R_EPSILON;R_EPSILON;;R_ELSE_OPC;R_EPSILON;;R_EPSILON;R_EPSILON;;;;;;;;;;;;;;;R_EPSILON;;R_EPSILON;;;;R_EPSILON;;;;;;;;;
R_DEC_ENQUANTO;;;;;;;;;;R_DEC_ENQUANTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_PASSA_PARAM;;;;;;;;;;;;;;;;;;;R_PASSA_PARAM;R_PASSA_PARAM;R_PASSA_PARAM;;;R_PASSA_PARAM;R_PASSA_PARAM;;;;;R_PASSA_PARAM;;;;R_PASSA_PARAM;R_PASSA_PARAM;R_PASSA_PARAM;R_PASSA_PARAM;;;R_PASSA_PARAM;;;
R_PASSA_PARAM_I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_PASSA_PARAM_I;R_EPSILON;;;
R_TIPO;;;;;;;;;;;;;;R_TIPO;R_TIPO_C2;R_TIPO_C3;R_TIPO_C4;R_TIPO_C5;;;;;;;;;;;;;;;;;;;;;;;;;
